"VEGOBJEKT-ID";"TYPE-ID";"VERSJON";"FØRSTE FOREKOMST";"STARTDATO";"SLUTTDATO";"SIST MODIFISERT";"NAVN";"LINK TIL INFOSIDER";"TILLEGGSINFORMASJON";"GEOMETRI, PUNKT";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"LOK.FYLKE";"LOK.FYLKESNUMMER";"LOK.RIKSVEGRUTE";"LOK.KONTRAKTSOMRÅDE";"LOK.VEGSYSTEMREFERANSE";"LOK.VEGKATEGORI";"LOK.FASE";"LOK.VEGNUMMER";"LOK.STREKNING";"LOK.DELSTREKNING";"FRA METER";"TIL METER";"VEGLENKESEKVENSID";"STARTPOSISJON";"SLUTTPOSISJON";"STREKNING.RETNING";"SIDEPOSISJON";"KJØREFELT";"TYPEVEG";"LENGDE";"MOR";"BARN";"GEOMETRI";"GEO.HØYDEREFERANSE"
"894209984";"638";"2";"1";"2022-12-29";"";"2024-05-15T14:39:09";"Hønefoss trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/honefoss/";"";"POINT (237122.35919786873 6685460.5785519555)";"Ringerike";"3305";"Buskerud";"33";"";"";"KV10064 S1D1 m319";"Kommunal veg";"Eksisterende";"10064";"1";"1";"319";"319";"142870";"0,14177159";"0,14177159";"WITH";"LEFT";"";"enkelBilveg";"0";"";"44:142242439";"POINT Z(237150.313 6685527.668 198.566)";""
"894209993";"638";"2";"1";"2022-12-29";"";"2024-09-30T14:56:26";"Gol trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/gol/";"";"POINT (170219.36346392025 6744207.529501977)";"Gol";"3324";"Buskerud";"33";"";"0614 Buskerud elektro og veglys 2020-2025,9102 Hallingdal og Valdres 2023-2026,9102 Hallingdal og Valdres 2022-2023,Vegoppmerking Buskerud med Asker og Bærum 2021-2023,0614 Buskerud elektro og veglys 2023-2025";"RV7 S11D1 m8174 SD1 m122";"Riksveg";"Eksisterende";"7";"11";"1";"121,918";"121,918";"3124545";"0,22237849";"0,22237849";"WITH";"";"";"kanalisertVeg";"0";"";"44:907516928";"POINT Z(170159.984 6744175.188 204.602)";""
"894210083";"638";"2";"1";"2022-12-22";"";"2022-12-22T13:14:18";"Drammen trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/drammen/";"";"POINT (233053.54951152072 6633363.588475273)";"Lier";"3312";"Buskerud";"33";"RUTE3";"0614 Buskerud elektro og veglys 2020-2025,9101 Drammen 2022-2023,9101 Drammen 2023-2027,Vegoppmerking Buskerud med Asker og Bærum 2021-2023,0614 Buskerud elektro og veglys 2023-2025,Rekkverksvedlikehold Øst 2 Oslo Viken 2025-2026,Rekkverksvedlikehold Øst 2 Oslo Viken 2023-2024";"EV18 S47D1 m196";"Europaveg";"Eksisterende";"18";"47";"1";"196,148";"196,148";"181259";"0,17392488";"0,17392488";"WITH";"LEFT";"";"kanalisertVeg";"0";"";"44:1017152126";"POINT Z(232999.271 6633409.357 15.127)";""
"1016339598";"638";"1";"1";"2022-09-20";"";"2022-09-20T11:04:20";"Vadsø trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/vadso/";"";"POINT (1054624.1946404972 7842581.332076465)";"Vadsø";"5607";"Finnmark";"56";"";"";"KV10630 S2D1 m85";"Kommunal veg";"Eksisterende";"10630";"2";"1";"85,191";"85,191";"920953";"1";"1";"";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(1054601.5 7842562 25.415)";""
"1016339599";"638";"1";"1";"2022-09-20";"";"2023-01-05T10:57:25";"Mo i Rana trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/mo/";"";"POINT (461655.82492656563 7354318.665248149)";"Rana";"1833";"Nordland";"18";"RUTE7";"1814 Helgeland nord 2015-2030,9551 Nordland 2020-2025,DK Helgeland,Vegoppmerking Nordland 2021-2023,9581 Rekkverk Nordland  2024-2024";"EV6 S125D1 m5166 KD1 m56";"Europaveg";"Eksisterende";"6";"125";"1";"55,828";"55,828";"2284235";"0,63419649";"0,63419649";"";"RIGHT";"";"rundkjøring";"0";"";"44:851795912";"POINT Z(461700.611 7354339.022 20.342)";""
"1016339600";"638";"2";"1";"2022-12-12";"";"2023-01-05T10:59:40";"Finnsnes trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/finnsnes/";"";"POINT (623408.4130626852 7684139.460569311)";"Senja";"5530";"Troms";"55";"";"5005 Troms 2017-2022,1903 Senja 2019-2024,E5451 DV elektro Troms sør og midt 2020-2025";"FV855 S3D1 m7970";"Fylkesveg";"Eksisterende";"855";"3";"1";"7970";"7970";"1125894";"0,84087062";"0,84087062";"WITH";"LEFT";"";"enkelBilveg";"0";"";"44:144924040";"POINT Z(623460.388 7684238.393 49.1)";""
"1016339601";"638";"1";"1";"2022-09-20";"";"2023-01-05T12:08:58";"Ånestad kontrollstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/anestad/";"";"POINT (303102.4867638296 6751413.85646971)";"Løten";"3412";"Innlandet";"34";"";"3498 OPS Rv. 3/25 Ommangsvollen-Grundset/Basthjørnet";"RV3 S3D1 m754 SD3 m247";"Riksveg";"Eksisterende";"3";"3";"1";"247,168";"247,168";"3292361";"0,97866917";"0,97866917";"";"LEFT";"";"enkelBilveg";"0";"";"44:1013447746";"POINT Z(303177.992 6751386.404 267.996)";""
"1016339602";"638";"1";"1";"2022-09-20";"";"2022-09-20T11:04:20";"Alta trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/alta/";"";"POINT (815776.3397642327 7783375.781308755)";"Alta";"5601";"Finnmark";"56";"";"";"KV5077 S1D1 m545";"Kommunal veg";"Eksisterende";"5077";"1";"1";"544,598";"544,598";"921668";"0,72829426";"0,72829426";"";"LEFT";"";"enkelBilveg";"0";"";"";"POINT Z(815674.515 7783403.62 50.455)";""
"1016339603";"638";"1";"1";"2022-09-20";"";"2022-12-19T12:43:30";"Narvik trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/narvik/";"";"POINT (599876.1702379045 7590722.899776513)";"Narvik";"1806";"Nordland";"18";"";"1816 Ofoten 2018-2023,E1853 DV elektro Ofoten Lofoten og Vesterålen 2020-2025,DK1809 Lofoten-Ofoten 2021-2026,V5-18(NFK22) - Bruvedlikehold 2023-2025,V5-18(NFK21) - Tunnelvedlikehold 2023-2025";"FV7570 S1D1 m316";"Fylkesveg";"Eksisterende";"7570";"1";"1";"315,621";"315,621";"886113";"0,03196079";"0,03196079";"";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(599822.266 7590759.6 10.59)";""
"1016339604";"638";"1";"1";"2022-09-20";"";"2022-09-20T11:04:20";"Brønnøysund trafikkstasjon";"https://www.vegvesen.no/om-oss/kontakt-oss/trafikkstasjoner/bronnoysund/";"";"POINT (372521.33009157015 7265790.8120965315)";"Brønnøy";"1813";"Nordland";"18";"";"";"KV3920 S1D1 m471";"Kommunal veg";"Eksisterende";"3920";"1";"1";"470,692";"470,692";"855509";"0,80140405";"0,80140405";"";"RIGHT";"";"enkelBilveg";"0";"";"";"POINT Z(372528.532 7265739.932 7.466)";""
